"id","date","date_value"
"asc_665dbb","2018-12-31","-13.0697"
"asc_665dbb","2019-01-12","-5.554348"
"asc_665dbb","2019-01-24","-10.92295"
"asc_665dbb","2019-02-05","-5.36273"
"asc_665dbb","2019-02-17","-3.915613"
"asc_665dbb","2019-03-01","-3.135855"
"asc_665dbb","2019-03-13","-3.686108"
"asc_665dbb","2019-03-25","-3.346883"
"asc_665dbb","2019-04-06","-4.699961"
"asc_665dbb","2019-04-18","-5.61218"
"asc_665dbb","2019-04-30","-12.85746"
"asc_665dbb","2019-05-12","-4.671747"
"asc_665dbb","2019-06-05","-7.841021"
"asc_665dbb","2019-06-17","-3.23809"
"asc_665dbb","2019-06-29","2.157536"
"asc_665dbb","2019-07-11","-3.353628"
"asc_665dbb","2019-07-23","-2.295382"
"asc_665dbb","2019-08-04","-2.21961"
"asc_665dbb","2019-08-16","-0.6067683"
"asc_665dbb","2019-08-28","-5.321935"
"asc_665dbb","2019-09-09","-3.203359"
"asc_665dbb","2019-09-21","-8.569348"
"asc_665dbb","2019-10-03","-9.755128"
"asc_665dbb","2019-10-15","-5.87817"
"asc_665dbb","2019-10-27","-6.585695"
"asc_665dbb","2019-11-08","7.917419"
"asc_665dbb","2019-11-20","-9.208341"
"asc_bd4878","2019-10-03","-7.208174"
"asc_bd4878","2019-10-15","13.18861"
"asc_bd4878","2019-10-27","-4.365706"
"asc_bd4878","2019-11-08","4.443524"
"asc_bd4878","2019-11-20","-12.25381"
"asc_bd4878","2016-12-05","3.183737"
"asc_bd4878","2016-12-11","7.021972"
"asc_bd4878","2016-12-17","6.427555"
"asc_bd4878","2016-12-23","3.176481"
"asc_bd4878","2016-12-29","1.991672"
"asc_bd4878","2017-01-04","2.979158"
"asc_bd4878","2017-01-10","0.1859614"
"asc_bd4878","2017-01-16","0.733084"
"asc_bd4878","2017-01-22","3.383717"
"asc_bd4878","2017-01-28","5.736366"
"asc_bd4878","2017-02-03","7.258586"
"asc_bd4878","2017-02-09","3.283165"
"asc_bd4878","2017-02-15","1.974802"
"asc_bd4878","2017-02-21","1.078606"
"asc_bd4878","2017-02-27","2.091978"
"asc_bd4878","2017-03-05","5.349518"
"asc_bd4878","2017-03-11","0.9773942"
"asc_bd4878","2017-03-17","5.090593"
"asc_bd4878","2017-03-23","4.242998"
"asc_bd4878","2017-03-29","6.449836"
"asc_bd4878","2017-04-04","3.56094"
"asc_bd4878","2017-04-10","3.650185"
"asc_bd4878","2017-04-16","9.452254"
"asc_bd4878","2017-04-22","-0.8841913"
"asc_bd4878","2017-04-28","2.127578"
"asc_bd4878","2017-05-04","5.362581"
"asc_bd4878","2017-05-10","-6.601416"
"asc_bd4878","2017-05-16","4.10914"
"asc_bd4878","2017-05-22","3.718634"
"asc_bd4878","2017-06-03","1.63341"
"asc_bd4878","2017-06-15","-0.535345"
"asc_bd4878","2017-06-27","10.07956"
"asc_bd4878","2017-07-09","6.606332"
"asc_bd4878","2017-07-21","0.3575242"
"asc_bd4878","2017-08-02","-2.920627"
"asc_bd4878","2017-08-14","-7.799976"
"asc_bd4878","2017-08-26","4.225029"
"asc_bd4878","2017-09-07","3.665901"
"asc_bd4878","2017-09-19","7.491014"
"asc_bd4878","2017-10-13","2.365254"
"asc_bd4878","2017-10-25","4.615435"
"asc_bd4878","2017-11-06","0.2520985"
"asc_bd4878","2017-11-18","8.217919"
"asc_bd4878","2017-11-30","7.294149"
"asc_bd4878","2017-12-12","8.180517"
"asc_bd4878","2017-12-24","6.93789"
"asc_bd4878","2018-01-05","12.17242"
"asc_bd4878","2018-01-17","7.213088"
"asc_bd4878","2018-01-29","0.6177622"
"asc_bd4878","2018-02-10","6.342741"
"asc_bd4878","2018-02-22","1.165417"
"asc_bd4878","2018-03-18","11.71324"
"asc_bd4878","2018-03-30","4.22207"
"asc_bd4878","2018-04-11","-3.08849"
"asc_bd4878","2018-04-23","3.000978"
"asc_bd4878","2018-05-05","1.907502"
"asc_bd4878","2018-05-17","-0.1035108"
"asc_bd4878","2018-05-29","-7.315335"
"asc_bd4878","2018-06-10","6.442893"
"asc_bd4878","2018-06-22","7.91322"
"asc_bd4878","2018-07-04","-1.075536"
"asc_bd4878","2018-07-16","-13.10978"
"asc_bd4878","2018-07-28","2.466869"
"asc_bd4878","2018-08-09","-3.531718"
"asc_bd4878","2018-08-21","-8.666562"
"asc_bd4878","2018-09-02","1.370772"
"asc_bd4878","2018-09-14","-5.492844"
"asc_bd4878","2018-09-26","-24.93356"
"asc_bd4878","2018-10-08","-6.570767"
"asc_bd4878","2018-10-20","-9.428627"
"asc_bd4878","2018-11-01","-6.958061"
"asc_bd4878","2018-11-13","-10.39903"
"asc_bd4878","2018-11-25","3.298265"
"asc_bd4878","2018-12-07","-0.8693095"
"asc_bd4878","2018-12-19","-9.598584"
"asc_bd4878","2018-12-31","-1.603995"
"asc_bd4878","2019-01-12","-12.97984"
"asc_bd4878","2019-01-24","-12.12128"
"asc_bd4878","2019-02-05","-5.137297"
"asc_bd4878","2019-02-17","-2.946313"
"asc_bd4878","2019-03-01","-10.97744"
"asc_bd4878","2019-03-13","-2.767932"
"asc_bd4878","2019-03-25","-6.422762"
"asc_bd4878","2019-04-06","-9.620655"
"asc_bd4878","2019-04-18","-12.59051"
"asc_bd4878","2019-04-30","2.94123"
"asc_bd4878","2019-05-12","-9.620612"
"asc_bd4878","2019-06-05","-9.084849"
"asc_bd4878","2019-06-17","-4.466413"
"asc_bd4878","2019-06-29","-2.667511"
"asc_bd4878","2019-07-11","-5.049572"
"asc_bd4878","2019-07-23","-10.51735"
"asc_bd4878","2019-08-04","-2.132137"
"asc_bd4878","2019-08-16","-3.495756"
"asc_bd4878","2019-08-28","-3.393982"
"asc_bd4878","2019-09-09","-5.489164"
"asc_bd4878","2019-09-21","-8.823428"
"asc_c24b82","2016-12-05","11.62792"
"asc_c24b82","2016-12-11","8.041908"
"asc_c24b82","2016-12-17","12.70092"
"asc_c24b82","2016-12-23","6.417613"
"asc_c24b82","2016-12-29","6.742289"
"asc_c24b82","2017-01-04","5.768356"
"asc_c24b82","2017-01-10","0.7028672"
"asc_c24b82","2017-01-16","1.627551"
"asc_c24b82","2017-01-22","4.908143"
"asc_c24b82","2017-01-28","6.612452"
"asc_c24b82","2017-02-03","7.455203"
"asc_c24b82","2017-02-09","6.020529"
"asc_c24b82","2017-02-15","5.934615"
"asc_c24b82","2017-02-21","4.029027"
"asc_c24b82","2017-02-27","1.332423"
"asc_c24b82","2017-03-05","3.71069"
"asc_c24b82","2017-03-11","3.582817"
"asc_c24b82","2017-03-17","-0.3902924"
"asc_c24b82","2017-03-23","2.078619"
"asc_c24b82","2017-03-29","5.90559"
"asc_c24b82","2017-04-04","-6.536151"
"asc_c24b82","2017-04-10","1.06575"
"asc_c24b82","2017-04-16","3.577219"
"asc_c24b82","2017-04-22","1.289764"
"asc_c24b82","2017-04-28","3.278256"
"asc_c24b82","2017-05-04","2.216623"
"asc_c24b82","2017-05-10","-1.07456"
"asc_c24b82","2017-05-16","0.8938543"
"asc_c24b82","2017-05-22","-1.646032"
"asc_c24b82","2017-06-03","-2.272968"
"asc_c24b82","2017-06-15","1.926709"
"asc_c24b82","2017-06-27","4.139242"
"asc_c24b82","2017-07-09","-0.8428794"
"asc_c24b82","2017-07-21","-5.954691"
"asc_c24b82","2017-08-02","-7.341985"
"asc_c24b82","2017-08-14","-7.216533"
"asc_c24b82","2017-08-26","1.137734"
"asc_c24b82","2017-09-07","1.957602"
"asc_c24b82","2017-09-19","2.663686"
"asc_c24b82","2017-10-13","1.924553"
"asc_c24b82","2017-10-25","2.281744"
"asc_c24b82","2017-11-06","-0.7159312"
"asc_c24b82","2017-11-18","3.51583"
"asc_c24b82","2017-11-30","0.3657339"
"asc_c24b82","2017-12-12","0.6602856"
"asc_c24b82","2017-12-24","-2.413099"
"asc_c24b82","2018-01-05","2.695475"
"asc_c24b82","2018-01-17","0.4055879"
"asc_c24b82","2018-01-29","4.270744"
"asc_c24b82","2018-02-10","2.041713"
"asc_c24b82","2018-02-22","-1.147448"
"asc_c24b82","2018-03-18","-1.281592"
"asc_c24b82","2018-03-30","0.9814773"
"asc_c24b82","2018-04-11","0.5621483"
"asc_c24b82","2018-04-23","5.952493"
"asc_c24b82","2018-05-05","-12.2012"
"asc_c24b82","2018-05-17","-4.225217"
"asc_c24b82","2018-05-29","-3.587384"
"asc_c24b82","2018-06-10","7.700187"
"asc_c24b82","2018-06-22","2.111702"
"asc_c24b82","2018-07-04","2.243102"
"asc_c24b82","2018-07-16","-5.23333"
"asc_c24b82","2018-07-28","-10.35592"
"asc_c24b82","2018-08-09","-4.195623"
"asc_c24b82","2018-08-21","-0.9969313"
"asc_c24b82","2018-09-02","2.695863"
"asc_c24b82","2018-09-14","1.494322"
"asc_c24b82","2018-09-26","-1.323232"
"asc_c24b82","2018-10-08","-0.4294831"
"asc_c24b82","2018-10-20","-0.1142351"
"asc_c24b82","2018-11-01","0.4845694"
"asc_c24b82","2018-11-13","1.520594"
"asc_c24b82","2018-11-25","-5.280043"
"asc_c24b82","2018-12-07","0.05815544"
"asc_c24b82","2018-12-19","-2.428783"
"asc_c24b82","2018-12-31","-1.393551"
"asc_c24b82","2019-01-12","-0.9978898"
"asc_c24b82","2019-01-24","-7.806768"
"asc_c24b82","2019-02-05","0.09646583"
"asc_c24b82","2019-02-17","0.250203"
"asc_c24b82","2019-03-01","-2.508831"
"asc_c24b82","2019-03-13","-1.53587"
"asc_c24b82","2019-03-25","-4.293063"
"asc_c24b82","2019-04-06","1.549871"
"asc_c24b82","2019-04-18","-4.882255"
"asc_c24b82","2019-04-30","-13.73841"
"asc_c24b82","2019-05-12","-9.562222"
"asc_c24b82","2019-06-05","-13.65613"
"asc_c24b82","2019-06-17","-1.788874"
"asc_c24b82","2019-06-29","-7.409327"
"asc_c24b82","2019-07-11","12.67822"
"asc_c24b82","2019-07-23","-0.834417"
"asc_c24b82","2019-08-04","14.61841"
"asc_c24b82","2019-08-16","-10.86354"
"asc_c24b82","2019-08-28","-10.80588"
"asc_c24b82","2019-09-09","-8.117263"
"asc_c24b82","2019-09-21","-4.268096"
"asc_c24b82","2019-10-03","-7.631689"
"asc_c24b82","2019-10-15","-4.612436"
"asc_c24b82","2019-10-27","-5.220874"
"asc_c24b82","2019-11-08","-1.332728"
"asc_c24b82","2019-11-20","-5.768656"
